Trafikkregistreringspunkt,Navn,Vegreferanse,Fra,Til,Dato,Felt,Volum,Dekningsgrad (%),Antall timer total,Antall timer inkludert,Antall timer ugyldig,Ikke gyldig lengde,Lengdekvalitetsgrad (%),"< 5,6m",">= 5,6m","5,6m - 7,6m","7,6m - 12,5m","12,5m - 16,0m",">= 16,0m","16,0m - 24,0m",">= 24,0m"
39940V625245,Avrampe til Sandstuveien,EV6 S16D1 m545 KD1 m94,2020-03-25T00:00+01:00,2020-03-26T00:00+01:00,2020-03-25,1,357,"54,2",24,14,1,0,"100,00",317,40,21,14,3,2,2,0
39940V625245,Avrampe til Sandstuveien,EV6 S16D1 m545 KD1 m94,2020-03-25T00:00+01:00,2020-03-26T00:00+01:00,2020-03-25,Totalt i retning Abilds½,0,"54,2",24,14,1,0,"100,00",0,0,0,0,0,0,0,0
39940V625245,Avrampe til Sandstuveien,EV6 S16D1 m545 KD1 m94,2020-03-25T00:00+01:00,2020-03-26T00:00+01:00,2020-03-25,Totalt i retning Sandstuveien,357,"54,2",24,14,1,0,"100,00",317,40,21,14,3,2,2,0
39940V625245,Avrampe til Sandstuveien,EV6 S16D1 m545 KD1 m94,2020-03-25T00:00+01:00,2020-03-26T00:00+01:00,2020-03-25,Totalt,357,"54,2",24,14,1,0,"100,00",317,40,21,14,3,2,2,0
39940V625245,Avrampe til Sandstuveien,EV6 S16D1 m545 KD1 m94,2020-03-26T00:00+01:00,2020-03-27T00:00+01:00,2020-03-26,1,596,"100,0",24,24,0,0,"100,00",509,87,51,27,4,5,5,0
39940V625245,Avrampe til Sandstuveien,EV6 S16D1 m545 KD1 m94,2020-03-26T00:00+01:00,2020-03-27T00:00+01:00,2020-03-26,Totalt i retning Abilds½,0,"100,0",24,24,0,0,"100,00",0,0,0,0,0,0,0,0
39940V625245,Avrampe til Sandstuveien,EV6 S16D1 m545 KD1 m94,2020-03-26T00:00+01:00,2020-03-27T00:00+01:00,2020-03-26,Totalt i retning Sandstuveien,596,"100,0",24,24,0,0,"100,00",509,87,51,27,4,5,5,0
39940V625245,Avrampe til Sandstuveien,EV6 S16D1 m545 KD1 m94,2020-03-26T00:00+01:00,2020-03-27T00:00+01:00,2020-03-26,Totalt,596,"100,0",24,24,0,0,"100,00",509,87,51,27,4,5,5,0
39940V625245,Avrampe til Sandstuveien,EV6 S16D1 m545 KD1 m94,2020-03-27T00:00+01:00,2020-03-28T00:00+01:00,2020-03-27,1,618,"100,0",24,24,0,0,"100,00",551,67,30,25,7,5,5,0
39940V625245,Avrampe til Sandstuveien,EV6 S16D1 m545 KD1 m94,2020-03-27T00:00+01:00,2020-03-28T00:00+01:00,2020-03-27,Totalt i retning Abilds½,0,"100,0",24,24,0,0,"100,00",0,0,0,0,0,0,0,0
39940V625245,Avrampe til Sandstuveien,EV6 S16D1 m545 KD1 m94,2020-03-27T00:00+01:00,2020-03-28T00:00+01:00,2020-03-27,Totalt i retning Sandstuveien,618,"100,0",24,24,0,0,"100,00",551,67,30,25,7,5,5,0
39940V625245,Avrampe til Sandstuveien,EV6 S16D1 m545 KD1 m94,2020-03-27T00:00+01:00,2020-03-28T00:00+01:00,2020-03-27,Totalt,618,"100,0",24,24,0,0,"100,00",551,67,30,25,7,5,5,0
